room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
7478750,39161082,Entire home/apt,København,22,5,4,2,147,1,First Class location in Copenhagen,55.671744,12.55277,8/04/2018
877761,4638376,Entire home/apt,Varde,18,4.5,8,3,108,1,"Spahus ""Stjernen"" i Vejers Strand",55.628156,8.123916,8/04/2018
5739979,29771154,Entire home/apt,København,26,5,5,2,101,1,Charming 3-room near city,55.691192,12.481236,8/04/2018
7084749,37137312,Entire home/apt,København,22,4.5,2,1,90,1,Nice apartment in Copenhagen area,55.662244,12.519984,8/04/2018
10565344,54166097,Entire home/apt,København,17,5,4,2,371,1,Apartment + balcony in central Cph,55.680538,12.563401,8/04/2018
12407887,36979786,Entire home/apt,København,22,5,2,0,101,1,Unique & cozy apartment with a view,55.669588,12.544926,8/04/2018
13475994,77120821,Entire home/apt,København,13,5,2,1,104,1,Hyggelig Copenhagen apartment -close to everything,55.705246,12.587678,8/04/2018
13972620,76780524,Private room,Odense,13,4.5,3,1,31,1,Room in central Odense,55.392814,10.405733,8/04/2018
7708064,40490079,Entire home/apt,Frederiksberg,30,5,4,1,124,1,Cosy apartment close to metro,55.683092,12.524066,8/04/2018
13619391,35376327,Private room,Odense,16,5,2,1,33,1,Nice room for 2 (up to 4) cozy home,55.365627,10.366609,8/04/2018
14650264,73589022,Private room,København,18,5,2,1,77,1,Lovely room in central Nørrebro,55.687506,12.548646,8/04/2018
13919381,82002245,Private room,Frederikshavn,14,4,2,1,73,1,"Villa Kulla, Skagen",57.721847,10.594024,9/04/2018
8079452,26641506,Private room,København,26,4.5,2,1,99,1,Large room in central Copenhagen,55.663428,12.608356,9/04/2018
1824716,9550349,Entire home/apt,Vejle,14,5,5,2,186,1,"Uniq lejlighed på landet, gml stil.",55.69022,9.346255,9/04/2018
13042264,72139773,Private room,Aarhus,18,5,3,1,46,1,Lyst & rummeligt værelse i indre by,56.169526,10.193056,9/04/2018
695506,3442073,Entire home/apt,Sønderborg,21,4.5,3,2,70,1,2 appartments near the sea (app 1),54.942863,10.009263,9/04/2018
1184650,3196055,Entire home/apt,København,21,4.5,6,2,217,1,Cosy and modern in Latin Quarter,55.678508,12.567843,9/04/2018
1361775,7392755,Entire home/apt,København,14,5,4,2,83,1,Copenhagen home with a green view,55.68996,12.510793,9/04/2018
1381050,7345227,Entire home/apt,Thisted,14,4.5,4,1,77,1,B&B appartment in Vorupoer,56.9574,8.367657,9/04/2018
3769768,17849402,Entire home/apt,Aalborg,15,5,4,3,84,1,Peace and tranquility.,57.046376,10.348543,9/04/2018
13179246,21178971,Entire home/apt,København,19,5,4,1,124,1,"Close to center in a charming, bright flat",55.665917,12.551551,9/04/2018
1209314,6604200,Private room,Ballerup,14,4.5,2,1,46,1,Bedroom with own bathroom,55.755639,12.391131,9/04/2018
12765887,69457254,Entire home/apt,Lolland,18,5,3,0,45,1,"Lille lejlighed med eget køkken, bad og toilet",54.772138,11.50952,9/04/2018
12720630,46262068,Entire home/apt,København,20,4.5,8,4,349,1,Modern family-friendly house&garden,55.642829,12.588428,9/04/2018
3836543,19761013,Entire home/apt,Aarhus,33,5,2,1,55,1,"65m2 cool, cozy and spacious close to city center",56.171307,10.214296,9/04/2018
3870987,19995159,Entire home/apt,Aarhus,19,4.5,5,3,233,1,Lovely bedrooms/flat in Aarhus,56.174048,10.196253,9/04/2018
